name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,GenderGuesser
Sharon Goldberg,2012,Organizing,"Boston University, USA",Sharon Goldberg,"Boston University, USA",North America,Female,Female,female
Liang Wang,2012,Organizing,"University of Helsinki, Finland",Liang Wang,"University of Helsinki, Finland",Europe,Male,Male,andy
Jaudelice de Oliveira,2012,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,unknown
Dah Ming Chiu,2013,Organizing,"The Chinese University of Hong Kong, China",Dah Ming Chiu,"The Chinese University of Hong Kong, China",Asia,Male,Male,unknown
Jia Wang,2013,Organizing,"AT&T Labs - Research, USA",Jia Wang,"AT&T Labs - Research, USA",North America,Female,Female,andy
Paul Barford,2013,Organizing,"University of Wisconsin, USA",Paul Barford,"University of Wisconsin, USA",North America,Male,Male,male
Srinivasan Seshan,2013,Organizing,"Carnegie Mellon University, USA",Srinivasan Seshan,"Carnegie Mellon University, USA",North America,Male,Male,unknown
Xiaohua Jia,2013,Organizing,"City University of Hong Kong, China",Xiaohua Jia,"City University of Hong Kong, China",Asia,Male,Male,unknown
Patrick P. C. Lee,2013,Organizing,"The Chinese University of Hong Kong, China",Patrick P. C. Lee,"The Chinese University of Hong Kong, China",Asia,Male,Male,male
Wing Cheong Lau,2013,Organizing,"The Chinese University of Hong Kong, China",Wing Cheong Lau,"The Chinese University of Hong Kong, China",Asia,Male,Male,andy
Aditya Akella,2013,Organizing,"University of Wisconsin, USA",Aditya Akella,"University of Wisconsin, USA",North America,Male,Male,male
Ratul Mahajan,2013,Organizing,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",North America,Male,Male,unknown
Lili Qiu,2013,Organizing,"University of Texas, USA",Lili Qiu,"University of Texas, USA",North America,Female,Female,female
Helen Wang,2013,Organizing,"Microsoft Research, USA",Helen Wang,"Microsoft Research, USA",North America,Female,Female,female
Nick Feamster,2013,Organizing,"Georgia Institute of Technology, USA",Nick Feamster,"Georgia Institute of Technology, USA",North America,Male,Male,male
Vijay Gopalakrishnan,2013,Organizing,"AT&T Labs - Research, USA",Vijay Gopalakrishnan,"AT&T Labs - Research, USA",North America,Male,Male,mostly_male
Yongguang Zhang,2013,Organizing,"Microsoft Research Asia, China",Yongguang Zhang,"Microsoft Research Asia, China",Asia,Male,Male,unknown
Jun Bi,2013,Organizing,"Tsinghua University, China",Jun Bi,"Tsinghua University, China",Asia,Male,Male,mostly_male
Zihui Ge,2013,Organizing,"AT&T Labs - Research, USA",Zihui Ge,"AT&T Labs - Research, USA",North America,Male,Male,unknown
Krishna Gummadi,2013,Organizing,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",Europe,,Male,andy
Y. Charlie Hu,2013,Organizing,"Purdue University, USA",Y. Charlie Hu,"Purdue University, USA",North America,Male,Male,unknown
Augustin Chaintreau,2013,Organizing,"Columbia University, USA",Augustin Chaintreau,"Columbia University, USA",North America,Male,Male,male
Polly Huang,2013,Organizing,"National Taiwan University, R.O.China",Polly Huang,"National Taiwan University, R.O.China",Asia,Female,Female,female
Carmen Guerrero,2013,Organizing,University Carlos III Madrid,Carmen Guerrero,University Carlos III Madrid,Europe,Female,Female,female
Kwok Wai Cheung,2013,Organizing,"The Chinese University of Hong Kong, China",Kwok Wai Cheung,"The Chinese University of Hong Kong, China",Asia,Male,Male,unknown
Bruce Maggs,2013,Organizing,"Duke University, USA",Bruce Maggs,"Duke University, USA",North America,Male,Male,male
Jaudelice de Oliveira,2013,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,unknown
Fabián E. Bustamante,2014,Organizing,"Northwestern U., USA",Fabián E. Bustamante,"Northwestern U., USA",North America,Male,Male,unknown
Y. Charlie Hu,2014,Organizing,"Purdue U., USA",Y. Charlie Hu,"Purdue U., USA",North America,Male,Male,unknown
Yan Chen,2014,Organizing,"Northwestern U., USA",Yan Chen,"Northwestern U., USA",North America,,,male
Jakob Eriksson,2014,Organizing,"University of Illinois, Chicago, USA",Jakob Eriksson,"University of Illinois, Chicago, USA",North America,,,male
Randall Berry,2014,Organizing,"Northwestern U., USA",Randall Berry,"Northwestern U., USA",North America,,,male
Matthew Caesar,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",Matthew Caesar,"U. of Illinois, Urbana-Champaign, USA",North America,,Male,male
Ming Zhang,2014,Organizing,"Microsoft Research, USA",Ming Zhang,"Microsoft Research, USA",North America,Male,Male,andy
Sonia Fahmy,2014,Organizing,"Purdue U., USA",Sonia Fahmy,"Purdue U., USA",North America,Female,Female,female
Jia Wang,2014,Organizing,"AT&T Labs, USA",Jia Wang,"AT&T Labs, USA",North America,Female,Female,andy
David R. Choffnes,2014,Organizing,"Northeastern University, USA",David R. Choffnes,"Northeastern University, USA",North America,,Male,male
Kun Tan,2014,Organizing,"Microsoft Research, China",Kun Tan,"Microsoft Research, China",Asia,Male,Male,andy
Xenofontas Dimitropulos,2014,Organizing,"ETH Zurich, Switzerland",Xenofontas Dimitropulos,"ETH Zurich, Switzerland",Europe,,Male,male
Phillipa Gill,2014,Organizing,"Stony Brook U., USA",Phillipa Gill,"Stony Brook U., USA",North America,Female,Female,female
Bin Liu,2014,Organizing,"Tsinghua U., China",Bin Liu,"Tsinghua U., China",Asia,Male,Male,andy
Claudio Righetti,2014,Organizing,"Universidad de Buenos Aires, Argentina",Claudio Righetti,"Universidad de Buenos Aires, Argentina",South America,,,male
Robin Kravets,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",Robin Kravets,"U. of Illinois, Urbana-Champaign, USA",North America,,,mostly_male
Minlan Yu,2014,Organizing,"University of Southern California, USA",Minlan Yu,"University of Southern California, USA",North America,Female,Female,unknown
Tilman Wolf,2014,Organizing,"University of Massachusetts Amherst, USA",Tilman Wolf,"University of Massachusetts Amherst, USA",North America,Male,Male,male
Ignacio Alvarez-Hamelin,2014,Organizing,"Universidad de Buenos Aires, Argentina",Ignacio Alvarez-Hamelin,"Universidad de Buenos Aires, Argentina",South America,,,male
Wenjun Hu,2014,Organizing,"Yale University, USA",Wenjun Hu,"Yale University, USA",North America,Female,Female,unknown
Dimitrios Koutsonikolas,2014,Organizing,"U. at Buffalo, SUNY, USA",Dimitrios Koutsonikolas,"U. at Buffalo, SUNY, USA",North America,Male,Male,male
Marco Mellia,2014,Organizing,"Politecnico di Torino, Italy",Marco Mellia,"Politecnico di Torino, Italy",Europe,Male,Male,male
Sujata Banerjee,2014,Organizing,"HP Labs, USA",Sujata Banerjee,"HP Labs, USA",North America,Female,Female,female
P. Brighten Godfrey,2014,Organizing,"U. of Illinois, Urbana-Champaign, USA",P. Brighten Godfrey,"U. of Illinois, Urbana-Champaign, USA",North America,Male,Male,unknown
Yashar Ganjali,2014,Organizing,"U. of Toronto, Canada",Yashar Ganjali,"U. of Toronto, Canada",North America,Male,Male,male
Jaudelice de Oliveira,2014,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,unknown
Steve Uhlig,2015,Organizing,"Queen Mary University of London, UK",Steve Uhlig,"Queen Mary University of London, UK",Europe,Male,Male,male
Olaf Maennel,2015,Organizing,"Tallinn U. of Technology, Estonia",Olaf Maennel,"Tallinn U. of Technology, Estonia",Europe,Male,Male,male
Hamed Haddadi,2015,Organizing,"Queen Mary U. of London, UK",Hamed Haddadi,"Queen Mary U. of London, UK",Europe,Male,Male,male
Paolo Costa,2015,Organizing,"Microsoft Research Cambridge, UK",Paolo Costa,"Microsoft Research Cambridge, UK",Europe,Male,Male,male
Jon Crowcroft,2015,Organizing,"U. of Cambridge, UK",Jon Crowcroft,"U. of Cambridge, UK",Europe,Male,Male,male
Christophe Diot,2015,Organizing,"Technicolor, France",Christophe Diot,"Technicolor, France",Europe,Male,Male,male
Luigi Rizzo,2015,Organizing,"U. di Pisa, Italy",Luigi Rizzo,"U. di Pisa, Italy",Europe,Male,Male,male
Richard Mortier,2015,Organizing,"U. of Nottingham, UK",Richard Mortier,"U. of Nottingham, UK",Europe,Male,Male,male
Cigdem Sengul,2015,Organizing,"Oxford-Brookes U., UK",Cigdem Sengul,"Oxford-Brookes U., UK",Europe,Female,Female,unknown
Craig Partridge,2015,Organizing,"Raytheon BBN, USA",Craig Partridge,"Raytheon BBN, USA",North America,Male,Male,male
Fahad Dogar,2015,Organizing,"Raytheon BBN, USA",Fahad Dogar,"Raytheon BBN, USA",North America,Male,Male,male
Olivier Bonaventure,2015,Organizing,"U. Catolique de Louvaine, Belgium",Olivier Bonaventure,"U. Catolique de Louvaine, Belgium",Europe,Male,Male,male
Cristel Pelsser,2015,Organizing,"IIJ, Japan",Cristel Pelsser,"IIJ, Japan",Asia,Female,Female,female
Georgios Smaragdakis,2015,Organizing,"MIT, USA and TU Berlin, Germany",Georgios Smaragdakis,"MIT, USA and TU Berlin, Germany",Europe,Male,Male,male
Theophilus Benson,2015,Organizing,"Duke U., USA",Theophilus Benson,"Duke U., USA",North America,Male,Male,male
Gaogang Xie,2015,Organizing,"ICT CAS, China",Gaogang Xie,"ICT CAS, China",Asia,Male,Male,unknown
Chadi  Barakat,2015,Organizing,"Inria Sophia Antipolis, France",Chadi  Barakat,"Inria Sophia Antipolis, France",Europe,,Male,male
Gonca Gursun,2015,Organizing,"Ozyegin University, Turkey",Gonca Gursun,"Ozyegin University, Turkey",Asia,,,female
Ethan Katz-Bassett,2015,Organizing,"U. of Southern California, USA",Ethan Katz-Bassett,"U. of Southern California, USA",North America,Male,Male,male
Te-Yuan Huang,2015,Organizing,"Netflix, USA",Te-Yuan Huang,"Netflix, USA",North America,,Female,unknown
Maria Kazandjieva,2015,Organizing,"Netflix, USA",Maria Kazandjieva,"Netflix, USA",North America,,,female
Justine Sherry,2015,Organizing,"U. of Berkeley, USA",Justine Sherry,"U. of Berkeley, USA",North America,Male,Male,female
Vyas Sekar,2015,Organizing,"Carnegie Mellon U., USA",Vyas Sekar,"Carnegie Mellon U., USA",North America,Male,Male,unknown
Christian Kreibich,2015,Organizing,"ICSI, U. of Berkeley, USA",Christian Kreibich,"ICSI, U. of Berkeley, USA",North America,Male,Male,male
Matthew Roughan,2015,Organizing,"U. of Adelaide, Australia",Matthew Roughan,"U. of Adelaide, Australia",Australia,Male,Male,male
Andrew Moore,2015,Organizing,"U. of Cambridge, UK",Andrew Moore,"U. of Cambridge, UK",Europe,Male,Male,male
Miguel Rio,2015,Organizing,"U. College London, UK",Miguel Rio,"U. College London, UK",Europe,,,male
Felix Cuadrado,2015,Organizing,"Queen Mary U. of London, UK",Felix Cuadrado,"Queen Mary U. of London, UK",Europe,,,male
Renata Teixeira,2015,Organizing,Inria Paris-Rocquencourt,Renata Teixeira,Inria Paris-Rocquencourt,Europe,Female,Female,female
Nick Feamster,2015,Organizing,"Princeton U., USA",Nick Feamster,"Princeton U., USA",North America,Male,Male,male
Yashar Ganjali,2015,Organizing,"U. of Toronto, Canada",Yashar Ganjali,"U. of Toronto, Canada",North America,Male,Male,male
Marinho P Barcellos,2016,Organizing,"UFRGS, Brazil",Marinho P Barcellos,"UFRGS, Brazil",South America,,Female,unknown
Jon Crowcroft,2016,Organizing,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",Europe,Male,Male,male
Fabíola Greve,2016,Organizing,"UFBA, Brazil",Fabíola Greve,"UFBA, Brazil",South America,Female,Female,unknown
Leobino Sampaio,2016,Organizing,"UFBA, Brazil",Leobino Sampaio,"UFBA, Brazil",South America,Male,Male,unknown
Pan Hui,2016,Organizing,"Hong Kong U. of Science and Technology, Hong Kong",Pan Hui,"Hong Kong U. of Science and Technology, Hong Kong",Asia,Male,Male,andy
Christian E Rothenberg,2016,Organizing,"UNICAMP, Brazil",Christian E Rothenberg,"UNICAMP, Brazil",South America,,Male,male
Fahad Dogar,2016,Organizing,"Tufts University, USA",Fahad Dogar,"Tufts University, USA",North America,Male,Male,male
Craig Partridge,2016,Organizing,"Raytheon BBN Technologies, USA",Craig Partridge,"Raytheon BBN Technologies, USA",North America,Male,Male,male
Aruna Balasubramanian,2016,Organizing,"Stony Brook University, USA",Aruna Balasubramanian,"Stony Brook University, USA",North America,Female,Female,female
Te-Yuan Huang,2016,Organizing,"Netflix, USA",Te-Yuan Huang,"Netflix, USA",North America,,Female,unknown
Marco Canini,2016,Organizing,"KAUST, KSA",Marco Canini,"KAUST, KSA",Asia,Male,Male,male
Daniel R Figueiredo,2016,Organizing,"UFRJ, Brazil",Daniel R Figueiredo,"UFRJ, Brazil",South America,,Male,male
Aakanksha Chowdhery,2016,Organizing,"Princeton University, USA",Aakanksha Chowdhery,"Princeton University, USA",North America,Female,Female,unknown
Matteo Varvello,2016,Organizing,"Telefonica, Spain",Matteo Varvello,"Telefonica, Spain",Europe,Male,Male,male
Ronaldo A Ferreira,2016,Organizing,"UFMS, Brazil",Ronaldo A Ferreira,"UFMS, Brazil",South America,,,male
Hamed Haddadi,2016,Organizing,"Queen Mary U. of London, UK",Hamed Haddadi,"Queen Mary U. of London, UK",Europe,Male,Male,male
Sharon Goldberg,2016,Organizing,"Boston University, USA",Sharon Goldberg,"Boston University, USA",North America,Female,Female,female
Ítalo Cunha,2016,Organizing,"UFMG, Brazil",Ítalo Cunha,"UFMG, Brazil",South America,,Male,unknown
Ethan Katz-Bassett,2016,Organizing,"University of Southern California, USA",Ethan Katz-Bassett,"University of Southern California, USA",North America,Male,Male,male
Maria Kazandjieva,2016,Organizing,"Netflix, USA",Maria Kazandjieva,"Netflix, USA",North America,,,female
Phillipa Gill,2016,Organizing,"Stony Brook University, USA",Phillipa Gill,"Stony Brook University, USA",North America,Female,Female,female
Lisandro Z Granville,2016,Organizing,"UFRGS, Brazil",Lisandro Z Granville,"UFRGS, Brazil",South America,Male,Male,unknown
Sue Moon,2016,Organizing,"KAIST , Korea",Sue Moon,"KAIST , Korea",Asia,Female,Female,female
Costin Raiciu,2016,Organizing,"University Politehnica of Bucharest, Romania",Costin Raiciu,"University Politehnica of Bucharest, Romania",Europe,Male,Male,male
Christophe Diot,2016,Organizing,"Safran Analytics, France",Christophe Diot,"Safran Analytics, France",Europe,Male,Male,male
Raj Jain,2016,Organizing,"Washington University in St. Louis, USA",Raj Jain,"Washington University in St. Louis, USA",North America,,,mostly_male
Weverton Cordeiro,2016,Organizing,"UFRGS, Brazil",Weverton Cordeiro,"UFRGS, Brazil",South America,Male,Male,unknown
Anna-Kaisa Pietilainen,2016,Organizing,"Inria, France",Anna-Kaisa Pietilainen,"Inria, France",Europe,Female,Female,unknown
Jussara Almeida,2016,Organizing,"UFMG, Brazil",Jussara Almeida,"UFMG, Brazil",South America,Female,Female,unknown
Lars Eggert,2016,Organizing,"Netapp, Germany",Lars Eggert,"Netapp, Germany",Europe,Male,Male,male
Yashar Ganjali,2016,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,male
K. K. Ramakrishnan,2017,Organizing,"University of California, Riverside",K. K. Ramakrishnan,"University of California, Riverside",North America,Male,Male,unknown
Lixia Zhang,2017,Organizing,"University of California, Los Angeles",Lixia Zhang,"University of California, Los Angeles",North America,Female,Female,unknown
Peter Reiher,2017,Organizing,"University of California, Los Angeles",Peter Reiher,"University of California, Los Angeles",North America,,,male
Bharathan Balaji,2017,Organizing,"University of California, Los Angeles",Bharathan Balaji,"University of California, Los Angeles",North America,Male,Male,unknown
Fahad Dogar,2017,Organizing,Tufts University,Fahad Dogar,Tufts University,North America,Male,Male,male
Sergey Gorinsky,2017,Organizing,IMDEA Networks Institute,Sergey Gorinsky,IMDEA Networks Institute,Europe,Male,Male,male
Alex Afanasyev,2017,Organizing,Florida International University,Alex Afanasyev,Florida International University,North America,Male,Male,male
Mayutan Arumaithurai,2017,Organizing,University of Goettingen,Mayutan Arumaithurai,University of Goettingen,Europe,Male,Male,unknown
Dan Li,2017,Organizing,Tsinghua University,Dan Li,Tsinghua University,Asia,Male,Male,male
Jiasi Chen,2017,Organizing,"University of California, Riverside",Jiasi Chen,"University of California, Riverside",North America,Female,Female,unknown
Lan Wang,2017,Organizing,University of Memphis,Lan Wang,University of Memphis,North America,Female,Female,andy
Hamed Haddadi,2017,Organizing,"Queen Mary University of London, UK",Hamed Haddadi,"Queen Mary University of London, UK",Europe,Male,Male,male
Minlan Yu,2017,Organizing,Yale University,Minlan Yu,Yale University,North America,Female,Female,unknown
Lars Eggert,2017,Organizing,NetApp,Lars Eggert,NetApp,Europe,Male,Male,male
Lili Qiu,2017,Organizing,University of Texas at Austin,Lili Qiu,University of Texas at Austin,North America,Female,Female,female
David Oran,2017,Organizing,Unknown,David Oran,Unknown,North America,Male,Male,male
Bruce Maggs,2017,Organizing,Duke Univeristy / Akamai Technologies,Bruce Maggs,Duke Univeristy / Akamai Technologies,North America,Male,Male,male
Yashar Ganjali,2017,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,male
Alex C. Snoeren,2017,Organizing,UC San Diego,Alex C. Snoeren,UC San Diego,North America,Male,Male,male
Walter Willinger,2017,Organizing,"NIKSUN, Inc.",Walter Willinger,"NIKSUN, Inc.",North America,Male,Male,male
Radhika Niranjan Mysore,2017,Organizing,VMware Research,Radhika Niranjan Mysore,VMware Research,North America,Female,Female,female
Matthias WÃ¤hlisch,2017,Organizing,"Freie UniversitÃ¤t Berlin, Germany",Matthias Waschlisch,"Freie UniversitÃ¤t Berlin, Germany",Europe,,Male,male
Jeff Burke,2017,Organizing,"University of California, Los Angeles",Jeff Burke,"University of California, Los Angeles",North America,,,male
Nicholas Zhang,2017,Organizing,Huawei,Nicholas Zhang,Huawei,Europe,Male,Male,male
David Meyer,2017,Organizing,Brocade,David Meyer,Brocade,North America,Male,Male,male
Puneet Sharma,2017,Organizing,Hewlett Packard Labs,Puneet Sharma,Hewlett Packard Labs,North America,Male,Male,unknown
Vishal Misra,2017,Organizing,Columbia University,Vishal Misra,Columbia University,North America,Male,Male,unknown
