name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,ApproximateDoctoralGradYear,Gender,Source
Wendy Hall,2019,Organizing,"University of Southampton, UK",Wendy Hall,"University of Southampton, UK",Europe,Female,Female,1977,Female,FullNameMatch
Yong Cui,2019,Organizing,"Tsinghua University, China",Yong Cui,"Tsinghua University, China",Asia,Male,Male,2004,Male,FullNameMatch
Xiangyang Li,2019,Organizing,"USTC, China",Xiangyang Li,"USTC, China",Asia,Male,Male,2001,Male,FullNameMatch
Katerina Argyraki,2019,Organizing,"EPFL, Switzerland",Katerina Argyraki,"EPFL, Switzerland",Europe,,Female,2007,Female,FuzzyMatch
John Heidemann,2019,Organizing,"USC/ISI, USA",John Heidemann,"USC/ISI, USA",North America,,Male,1995,Male,FuzzyMatch
Ashutosh Sabharwal,2019,Organizing,"Rice University, USA",Ashutosh Sabharwal,"Rice University, USA",North America,Male,Male,1999,Male,FullNameMatch
Lixin Gao,2019,Organizing,"UMass, USA",Lixin Gao,"UMass, USA",North America,Female,Female,1997,Female,FullNameMatch
Srinivasan Keshav,2019,Organizing,"University of Waterloo, Canada",Srinivasan Keshav,"University of Waterloo, Canada",North America,Male,Male,1991,Male,FullNameMatch
Lixia Zhang,2019,Organizing,"UCLA, USA",Lixia Zhang,"UCLA, USA",North America,Female,Female,1989,Female,FullNameMatch
Xiaoming Fu,2019,Organizing,"University of Goettingen, Germany",Xiaoming Fu,"University of Goettingen, Germany",Europe,,Male,2000,Male,FuzzyMatch
Zhili Zhang,2019,Organizing,"UMN, USA",Zhili Zhang,"UMN, USA",North America,Male,Male,1997,Male,FullNameMatch
Gaogang Xie,2019,Organizing,"ICT, China",Gaogang Xie,"ICT, China",Asia,Male,Male,?,Male,FullNameMatch
Kai Chen,2019,Organizing,"HKUST, China",Kai Chen,"HKUST, China",Asia,,Male,2012,Male,FuzzyMatch
JÃ¶rg Ott,2019,Organizing,"Technical University of Munich, Germany",Jaorg Ott,"Technical University of Munich, Germany",Europe,Male,Male,1997,Male,FullNameMatch
Ming Zhang,2019,Organizing,"Alibaba, USA",Ming Zhang,"Alibaba, USA",North America,Male,Male,2005,Male,FullNameMatch
K. K. Ramakrishnan,2019,Organizing,"UC Riverside, USA",K. K. Ramakrishnan,"UC Riverside, USA",North America,Male,Male,1983,Male,FullNameMatch
Mingwei Xu,2019,Organizing,"Tsinghua University, China",Mingwei Xu,"Tsinghua University, China",Asia,Male,Male,1998,Male,FullNameMatch
Wei Bai,2019,Organizing,"Microsoft Research, Redmond",Wei Bai,"Microsoft Research, Redmond",North America,,Male,2017,Male,FuzzyMatch
Wenfei Wu,2019,Organizing,"Tsinghua University, China",Wenfei Wu,"Tsinghua University, China",Asia,Male,Male,2015,Male,FullNameMatch
Xia Yin,2019,Organizing,"Tsinghua University, China",Xia Yin,"Tsinghua University, China",Asia,Female,Female,2000,Female,FullNameMatch
Xiaochun Yun,2019,Organizing,"CNCERT, China",Xiaochun Yun,"CNCERT, China",Asia,Male,Male,1998,Male,FullNameMatch
Deke Guo,2019,Organizing,"NUDT, China",Deke Guo,"NUDT, China",Asia,Male,Male,2008,Male,FullNameMatch
Chenren Xu,2019,Organizing,"Peking University, China",Chenren Xu,"Peking University, China",Asia,Male,Male,2014,Male,FullNameMatch
Ke Xu,2019,Organizing,"Tsinghua University, China",Ke Xu,"Tsinghua University, China",Asia,Male,Male,2001,Male,FullNameMatch
Xiuzhen Cheng,2019,Organizing,"The George Washington University, USA",Xiuzhen Cheng,"The George Washington University, USA",North America,Female,Female,2002,Female,FullNameMatch
Paolo Costa,2019,Organizing,"Microsoft Research, UK",Paolo Costa,"Microsoft Research, UK",Europe,Male,Male,2002,Male,FullNameMatch
Yanyong Zhang,2019,Organizing,"USTC, China",Yanyong Zhang,"USTC, China",Asia,Female,Female,2002,Female,FullNameMatch
Lan Wang,2019,Organizing,"University of Memphis, USA",Lan Wang,"University of Memphis, USA",North America,Female,Female,2004,Female,FullNameMatch
Hongqiang Liu,2019,Organizing,"Alibaba, USA",Hongqiang Liu,"Alibaba, USA",North America,,Male,2014,Male,FuzzyMatch
Hongbin Luo,2019,Organizing,"BUAA, China",Hongbin Luo,"BUAA, China",Asia,Male,Male,2007,Male,FullNameMatch
Sheng Zhong,2019,Organizing,"Nanjing University, China",Sheng Zhong,"Nanjing University, China",Asia,Male,Male,2004,Male,FullNameMatch
Yongqiang Xiong,2019,Organizing,"Microsoft Research, China",Yongqiang Xiong,"Microsoft Research, China",Asia,Male,Male,2001,Male,FullNameMatch
Keith Winstein,2019,Organizing,"Stanford University, USA",Keith Winstein,"Stanford University, USA",North America,Male,Male,2014,Male,FullNameMatch
Xin Jin,2019,Organizing,"Johns Hopkins University, USA",Xin Jin,"Johns Hopkins University, USA",North America,Male,Male,2016,Male,FullNameMatch
Lili Qiu,2019,Organizing,"UT Austin, USA",Lili Qiu,"UT Austin, USA",North America,Female,Female,2001,Female,FullNameMatch
Huadong Ma,2019,Organizing,"BUPT, China",Huadong Ma,"BUPT, China",Asia,Male,Male,1995,Male,FullNameMatch
Dan Wang,2019,Organizing,"Hong Kong Polytechnic University, China",Dan Wang,"Hong Kong Polytechnic University, China",Asia,Male,Male,2007,Male,FullNameMatch
Timothy Wood,2019,Organizing,"The George Washington University, USA",Timothy Wood,"The George Washington University, USA",North America,,Male,2011,Male,FuzzyMatch
Junzhou Luo,2019,Organizing,"Southeast University, China",Junzhou Luo,"Southeast University, China",Asia,Male,Male,2000,Male,FullNameMatch
Kui Ren,2019,Organizing,"Zhejiang University, China",Kui Ren,"Zhejiang University, China",Asia,Male,Male,2007,Male,FullNameMatch
Kun Tan,2019,Organizing,"Huawei, China",Kun Tan,"Huawei, China",Asia,Male,Male,?,Male,FullNameMatch
Jiangchuan Liu,2019,Organizing,"Simon Fraser University, Canada",Jiangchuan Liu,"Simon Fraser University, Canada",North America,Male,Male,2003,Male,FullNameMatch
Steve Uhlig,2019,Organizing,"University of London, UK",Steve Uhlig,"University of London, UK",Europe,Male,Male,2004,Male,FullNameMatch
Vishal Misra,2020,Organizing,Columbia University,Vishal Misra,Columbia University,North America,Male,Male,2000,Male,FullNameMatch
Henning Schulzrinne,2020,Organizing,Columbia University,Henning Schulzrinne,Columbia University,North America,Male,Male,1992,Male,FullNameMatch
Sujata Banerjee,2020,Organizing,VMware Research,Sujata Banerjee,VMware Research,North America,Female,Female,1993,Female,FullNameMatch
Ratul Mahajan,2020,Organizing,"University of Washington, Intentionet",Ratul Mahajan,"University of Washington, Intentionet",North America,Male,Male,2005,Male,FullNameMatch
Laurent Vanbever,2020,Organizing,ETH Zurich,Laurent Vanbever,ETH Zurich,Europe,Male,Male,2012,Male,FullNameMatch
Stefano Vissicchio,2020,Organizing,University College London,Stefano Vissicchio,University College London,Europe,Male,Male,2012,Male,FullNameMatch
Manya Ghobadi,2020,Organizing,MIT,Manya Ghobadi,MIT,North America,Female,Female,2013,Female,FullNameMatch
Michael Schapira,2020,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,Asia,Male,Male,2008,Male,FullNameMatch
Ihsan Ayyub Qazi,2020,Organizing,LUMS,Ihsan Ayyub Qazi,LUMS,Asia,Male,Male,2010,Male,FullNameMatch
Rachit Agarwal,2020,Organizing,Cornell University,Rachit Agarwal,Cornell University,North America,,Male,2012,Male,FuzzyMatch
Jia Wang,2020,Organizing,AT&T Research Labs,Jia Wang,AT&T Research Labs,North America,Female,Female,2001,Female,FullNameMatch
Ying Zhang,2020,Organizing,Facebook,Ying Zhang,Facebook,North America,Female,Female,2009,Female,FullNameMatch
Fred Jiang,2020,Organizing,Columbia University,Fred Jiang,Columbia University,North America,,Male,2010,Male,FuzzyMatch
Yong Liu,2020,Organizing,NYU,Yong Liu,NYU,North America,Male,Male,2002,Male,FullNameMatch
Srinivas Narayana,2020,Organizing,Rutgers University,Srinivas Narayana,Rutgers University,North America,Male,Male,2016,Male,FullNameMatch
Anees Shaikh,2020,Organizing,Google,Anees Shaikh,Google,North America,Male,Male,1998,Male,FullNameMatch
Ethan Katz-Bassett,2020,Organizing,Columbia University,Ethan Katz-Bassett,Columbia University,North America,Male,Male,2012,Male,FullNameMatch
Aruna Balasubramanian,2020,Organizing,Stony Brook University,Aruna Balasubramanian,Stony Brook University,North America,Female,Female,2011,Female,FullNameMatch
Ravi Netravali,2020,Organizing,University of California at Los Angeles,Ravi Netravali,University of California at Los Angeles,North America,Male,Male,2018,Male,FullNameMatch
Tianbai Ma,2020,Organizing,NUS,Tianbai Ma,NUS,Asia,Male,Male,2010,Male,FullNameMatch
Aurojit Panda,2020,Organizing,NYU,Aurojit Panda,NYU,North America,Male,Male,2017,Male,FullNameMatch
Mina Tashmabi Arashloo,2020,Organizing,Cornell University,Mina Tashmabi Arashloo,Cornell University,North America,,Female,2019,Female,FuzzyMatch
Arpit Gupta,2020,Organizing,UCSB,Arpit Gupta,UCSB,North America,Male,Male,2018,Male,FullNameMatch
Gautam Kumar,2020,Organizing,Google,Gautam Kumar,Google,North America,Male,Male,2013,Male,FullNameMatch
Matthew Caesar,2020,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,North America,,Male,2007,Male,FuzzyMatch
Fernando Kuipers,2021,Organizing,Delft University of Technology,Fernando Kuipers,Delft University of Technology,Europe,Male,Male,2004,Male,FullNameMatch
Matthew Caesar,2021,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,North America,,Male,2007,Male,FuzzyMatch
Aditya Akella,2021,Organizing,University of WisconsinâMadison,Aditya Akella,University of WisconsinâMadison,North America,Male,Male,2005,Male,FullNameMatch
Nandita Dukkipati,2021,Organizing,Google,Nandita Dukkipati,Google,North America,Female,Female,2007,Female,FullNameMatch
JÃ¶rg Ott,2021,Organizing,Technische UniversitÃ¤t MÃ¼nchen,Jaorg Ott,Technische UniversitÃ¤t MÃ¼nchen,Europe,Male,Male,1997,Male,FullNameMatch
Zhi-Li Zhang,2021,Organizing,University of Minnesota,Zhi-Li Zhang,University of Minnesota,North America,Male,Male,1997,Male,FullNameMatch
Danny Raz,2021,Organizing,Technion & Google,Danny Raz,Technion & Google,Asia,Male,Male,1996,Male,FullNameMatch
Yang Chen,2021,Organizing,Fudan University,Yang Chen,Fudan University,North America,,Male,2017,Male,FuzzyMatch
Gabor Retvari,2021,Organizing,Budapest University of Technology and Economics,Gabor Retvari,Budapest University of Technology and Economics,Europe,Male,Male,2007,Male,FullNameMatch
Aaron Ding,2021,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,Europe,,Male,2015,Male,FuzzyMatch
Ramakrishnan Durairajan,2021,Organizing,University of Oregon,Ramakrishnan Durairajan,University of Oregon,North America,Male,Male,2017,Male,FullNameMatch
David Choffnes,2021,Organizing,Northeastern University,David Choffnes,Northeastern University,North America,Male,Male,2010,Male,FullNameMatch
Athina Markopoulou,2021,Organizing,UC Irvine,Athina Markopoulou,UC Irvine,North America,Female,Female,2003,Female,FullNameMatch
Marco Chiesa,2021,Organizing,KTH Royal Institute of Technology,Marco Chiesa,KTH Royal Institute of Technology,Europe,Male,Male,2014,Male,FullNameMatch
Marinho Barcellos,2021,Organizing,University of Waikato,Marinho Barcellos,University of Waikato,Australia,,Female,1998,Female,FuzzyMatch
Pan Hui,2021,Organizing,Hong Kong University of Science and Technology,Pan Hui,Hong Kong University of Science and Technology,Asia,Male,Male,2008,Male,FullNameMatch
Ellen Zegura,2021,Organizing,Georgia Tech,Ellen Zegura,Georgia Tech,North America,,Female,1993,Female,FuzzyMatch
Tilman Wolf,2021,Organizing,University of Massachusetts Amherst,Tilman Wolf,University of Massachusetts Amherst,North America,Male,Male,2002,Male,FullNameMatch
Michael Schapira,2021,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,Asia,Male,Male,2008,Male,FullNameMatch
Christian Doerr,2021,Organizing,University of Potsdam,Christian Doerr,University of Potsdam,Europe,Male,Male,Phd,Male,FullNameMatch
Roland van Rijswijk-Deij,2021,Organizing,University of Twente,Roland van Rijswijk-Deij,University of Twente,Europe,Male,Male,2017,Male,FullNameMatch
Pedro Casas,2021,Organizing,Austrian Institute of Technology,Pedro Casas,Austrian Institute of Technology,Europe,Male,Male,2013,Male,FullNameMatch
Christian Esteve Rothenberg,2021,Organizing,University of Campinas,Christian Esteve Rothenberg,University of Campinas,South America,Male,Male,2010,Male,FullNameMatch
Chenren Xu,2021,Organizing,Peking University,Chenren Xu,Peking University,Asia,Male,Male,2014,Male,FullNameMatch
"Taejoong ""Tijay"" Chung",2021,Organizing,Virginia Tech,"Taejoong ""Tijay"" Chung",Virginia Tech,North America,,Male,2015,Male,FuzzyMatch
Qing Wang,2021,Organizing,Delft University of Technology,Qing Wang,Delft University of Technology,Europe,,Male,2016,Male,FuzzyMatch
Paola Grosso,2021,Organizing,University of Amsterdam,Paola Grosso,University of Amsterdam,Europe,Female,Female,1999,Female,FullNameMatch
Karin Anna Hummel,2021,Organizing,Johannes Kepler University Linz,Karin Anna Hummel,Johannes Kepler University Linz,Europe,Female,Female,2005,Female,FullNameMatch
Andra Lutu,2021,Organizing,Telefonica Research,Andra Lutu,Telefonica Research,Europe,Female,Female,2014,Female,FullNameMatch
Hamed Haddadi,2021,Organizing,Imperial College London,Hamed Haddadi,Imperial College London,Europe,Male,Male,2008,Male,FullNameMatch
Dave Levin,2021,Organizing,University of Maryland,Dave Levin,University of Maryland,North America,Male,Male,2010,Male,FullNameMatch
Fernando Kuipers,2022,Organizing,Delft University of Technology,Fernando Kuipers,Delft University of Technology,Europe,Male,Male,2004,Male,FullNameMatch
Ariel Orda,2022,Organizing,Technion Israel Institute of Technology,Ariel Orda,Technion Israel Institute of Technology,Asia,Male,Male,1991,Male,FullNameMatch
Brighten Godfrey,2022,Organizing,University of Illinois at Urbana-Champaign,Brighten Godfrey,University of Illinois at Urbana-Champaign,North America,,Male,2009,Male,FuzzyMatch
Bruce Maggs,2022,Organizing,Duke University and Emerald Innovations,Bruce Maggs,Duke University and Emerald Innovations,North America,Male,Male,1989,Male,FullNameMatch
Sergey Gorinsky,2022,Organizing,IMDEA Networks Institute,Sergey Gorinsky,IMDEA Networks Institute,Europe,Male,Male,2003,Male,FullNameMatch
Anat Bremler-Barr,2022,Organizing,Reichman University,Anat Bremler-Barr,Reichman University,Asia,Female,Female,2002,Female,FullNameMatch
Zhi-Li Zhang,2022,Organizing,University of Minnesota,Zhi-Li Zhang,University of Minnesota,North America,Male,Male,1997,Male,FullNameMatch
Yang Chen,2022,Organizing,Fudan University,Yang Chen,Fudan University,North America,,Male,2017,Male,FuzzyMatch
Gabor Retvari,2022,Organizing,Budapest University of Technology and Economics & Ericsson Research,Gabor Retvari,Budapest University of Technology and Economics & Ericsson Research,Europe,Male,Male,2007,Male,FullNameMatch
Danny Raz,2022,Organizing,Technion Israel Institute of Technology,Danny Raz,Technion Israel Institute of Technology,Asia,Male,Male,1996,Male,FullNameMatch
Alex Sprintson,2022,Organizing,Texas A&M University,Alex Sprintson,Texas A&M University,North America,Male,Male,2003,Male,FullNameMatch
Ignacio Castro,2022,Organizing,Queen Mary University of London,Ignacio Castro,Queen Mary University of London,Europe,Male,Male,2015,Male,FullNameMatch
Gareth Tyson,2022,Organizing,Hong Kong University of Science and Technology,Gareth Tyson,Hong Kong University of Science and Technology,Europe,Male,Male,2010,Male,FullNameMatch
Marco Chiesa,2022,Organizing,KTH Royal Institute of Technology,Marco Chiesa,KTH Royal Institute of Technology,Europe,Male,Male,2014,Male,FullNameMatch
Karin Anna Hummel,2022,Organizing,Johannes Kepler University Linz,Karin Anna Hummel,Johannes Kepler University Linz,Europe,Female,Female,2005,Female,FullNameMatch
Tilman Wolf,2022,Organizing,University of Massachusetts Amherst,Tilman Wolf,University of Massachusetts Amherst,North America,Male,Male,2002,Male,FullNameMatch
Michael Schapira,2022,Organizing,Hebrew University of Jerusalem,Michael Schapira,Hebrew University of Jerusalem,Asia,Male,Male,2008,Male,FullNameMatch
Qing Wang,2022,Organizing,Delft University of Technology,Qing Wang,Delft University of Technology,Europe,,Male,2016,Male,FuzzyMatch
Andra Lutu,2022,Organizing,Telefonica Research,Andra Lutu,Telefonica Research,Europe,Female,Female,2014,Female,FullNameMatch
Matthew Caesar,2022,Organizing,University of Illinois at Urbana-Champaign,Matthew Caesar,University of Illinois at Urbana-Champaign,North America,,Male,2007,Male,FuzzyMatch
Pan Hui,2022,Organizing,Hong Kong University of Science and Technology,Pan Hui,Hong Kong University of Science and Technology,Asia,Male,Male,2008,Male,FullNameMatch
Aaron Ding,2022,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,Europe,,Male,2015,Male,FuzzyMatch
Pedro Casas,2022,Organizing,AIT Austrian Institute of Technology,Pedro Casas,AIT Austrian Institute of Technology,Europe,Male,Male,2013,Male,FullNameMatch
Christian Esteve Rothenberg,2022,Organizing,University of Campinas,Christian Esteve Rothenberg,University of Campinas,South America,Male,Male,2010,Male,FullNameMatch
Fernando Ramos,2022,Organizing,University of Lisbon,Fernando Ramos,University of Lisbon,Europe,Male,Male,2013,Male,FullNameMatch
"Taejoong ""Tijay"" Chung",2022,Organizing,Virginia Tech,"Taejoong ""Tijay"" Chung",Virginia Tech,North America,,Male,2015,Male,FuzzyMatch
Lin Wang,2022,Organizing,Vrije Universiteit Amsterdam,Lin Wang,Vrije Universiteit Amsterdam,Europe,Male,Male,2015,Male,FullNameMatch
Paola Grosso,2022,Organizing,University of Amsterdam,Paola Grosso,University of Amsterdam,Europe,Female,Female,1999,Female,FullNameMatch
Yiting Xia,2022,Organizing,Max Planck Institute for Informatics,Yiting Xia,Max Planck Institute for Informatics,Europe,Female,Female,2018,Female,FullNameMatch
Mina Tahmasbi Arashloo,2022,Organizing,University of Waterloo,Mina Tahmasbi Arashloo,University of Waterloo,North America,Female,Female,2019,Female,FullNameMatch
Chen Qian,2022,Organizing,University of California Santa Cruz,Chen Qian,University of California Santa Cruz,North America,Male,Male,2013,Male,FullNameMatch
Jasleen Kaur,2022,Organizing,University of North Carolina at Chapel Hill,Jasleen Kaur,University of North Carolina at Chapel Hill,North America,Female,Female,2002,Female,FullNameMatch
Vishal Misra,2023,Organizing,Columbia University,Vishal Misra,Columbia University,North America,Male,Male,2000,Male,FullNameMatch
Henning Schulzrinne,2023,Organizing,Columbia University,Henning Schulzrinne,Columbia University,North America,Male,Male,1992,Male,FullNameMatch
Eddie Kohler,2023,Organizing,Harvard University,Eddie Kohler,Harvard University,North America,Male,Male,2001,Male,FullNameMatch
David Maltz,2023,Organizing,Microsoft,David Maltz,Microsoft,North America,Male,Male,2001,Male,FullNameMatch
Lin Wang,2023,Organizing,Vrije Universiteit Amsterdam,Lin Wang,Vrije Universiteit Amsterdam,Europe,Male,Male,2015,Male,FullNameMatch
Emmanouil Vasilomanolakis,2023,Organizing,Technical University of Denmark,Emmanouil Vasilomanolakis,Technical University of Denmark,Europe,Male,Male,2016,Male,FullNameMatch
Dan Rubenstein,2023,Organizing,Columbia University,Dan Rubenstein,Columbia University,North America,Male,Male,2000,Male,FullNameMatch
Aaron Ding,2023,Organizing,Delft University of Technology,Aaron Ding,Delft University of Technology,Europe,,Male,2015,Male,FuzzyMatch
Kostis Kaffes,2023,Organizing,Stanford University,Kostis Kaffes,Stanford University,North America,Male,Male,2022,Male,FullNameMatch
Timothy Wood,2023,Organizing,George Washington University,Timothy Wood,George Washington University,North America,,Male,2011,Male,FuzzyMatch
Sangeetha Abdu Jyothi,2023,Organizing,"University of California, Irvine",Sangeetha Abdu Jyothi,"University of California, Irvine",North America,Female,Female,2019,Female,FullNameMatch
Ethan Katz-Bassett,2023,Organizing,Columbia University,Ethan Katz-Bassett,Columbia University,North America,Male,Male,2012,Male,FullNameMatch
Todd Arnold,2023,Organizing,U.S. Military Academy at West Point,Todd Arnold,U.S. Military Academy at West Point,North America,Male,Male,2020,Male,FullNameMatch
Matt Calder,2023,Organizing,Columbia University & Meta,Matt Calder,Columbia University & Meta,North America,Male,Male,2018,Male,FullNameMatch
Jan Janak,2023,Organizing,Columbia University,Jan Janak,Columbia University,North America,Male,Male,2022,Male,FullNameMatch
Xiaofan (Fred) Jiang,2023,Organizing,Columbia University,Xiaofan (Fred) Jiang,Columbia University,North America,Male,Male,2010,Male,FullNameMatch
Joerg Ott,2023,Organizing,"Aalto University, Finland",Joerg Ott,"Aalto University, Finland",Europe,Male,Male,1997,Male,FullNameMatch
Minmei Wang,2023,Organizing,University of Connecticut,Minmei Wang,University of Connecticut,North America,Female,Female,2022,Female,FullNameMatch
Zihui Ge,2023,Organizing,AT&T Research,Zihui Ge,AT&T Research,North America,Male,Male,2003,Male,FullNameMatch
Jia Wang,2023,Organizing,AT&T Labs,Jia Wang,AT&T Labs,North America,Female,Female,2001,Female,FullNameMatch
Maria Apostolaki,2023,Organizing,Princeton University,Maria Apostolaki,Princeton University,North America,Female,Female,2021,Female,FullNameMatch
Vishal Shrivastav,2023,Organizing,Purdue University,Vishal Shrivastav,Purdue University,North America,Male,Male,2020,Male,FullNameMatch
Lachlan Andrew,2023,Organizing,University of Melbourne,Lachlan Andrew,University of Melbourne,Australia,,Male,1997,Male,FuzzyMatch
Xia Zhou,2023,Organizing,Columbia University,Xia Zhou,Columbia University,North America,Female,Female,2013,Female,FullNameMatch
Tianbai Ma,2023,Organizing,NUS (Singapore),Tianbai Ma,NUS (Singapore),Asia,Male,Male,2010,Male,FullNameMatch
Feng Qian,2023,Organizing,University of Minnesota,Feng Qian,University of Minnesota,North America,Male,Male,2012,Male,FullNameMatch
Dina Papagiannaki,2009,Program,"Intel Research, USA",Dina Papagiannaki,"Intel Research, USA",North America,Female,Female,2003,Female,FullNameMatch
Luigi Rizzo,2009,Program,"Universit� di Pisa, Italy",Luigi Rizzo,"Universit di Pisa, Italy",Europe,Male,Male,1998,Male,FullNameMatch
David Andersen,2009,Program,"Carnegie Mellon University, USA",David Andersen,"Carnegie Mellon University, USA",North America,Male,Male,2004,Male,FullNameMatch
Suman Banerjee,2009,Program,"University of Wisconsin, Madison, USA",Suman Banerjee,"University of Wisconsin, Madison, USA",North America,Male,Male,2003,Male,FullNameMatch
Ranjita Bhagwan,2009,Program,Microsoft Research India,Ranjita Bhagwan,Microsoft Research India,Asia,Female,Female,2004,Female,FullNameMatch
Augustin Chaintreau,2009,Program,"Thomson, France",Augustin Chaintreau,"Thomson, France",Europe,Male,Male,2006,Male,FullNameMatch
Ranveer Chandra,2009,Program,"Microsoft Research, USA",Ranveer Chandra,"Microsoft Research, USA",North America,Male,Male,2005,Male,FullNameMatch
Dah Ming Chiu,2009,Program,"The Chinese University of Hong Kong, China",Dah Ming Chiu,"The Chinese University of Hong Kong, China",Asia,Male,Male,1980,Male,FullNameMatch
Kenjiro Cho,2009,Program,"IIJ, Japan",Kenjiro Cho,"IIJ, Japan",Asia,Male,Male,2001,Male,FullNameMatch
Chen-Nee Chuah,2009,Program,"UC Davis, USA",Chen-Nee Chuah,"UC Davis, USA",North America,Female,Female,2001,Female,FullNameMatch
Jon Crowcroft,2009,Program,"University of Cambridge, UK",Jon Crowcroft,"University of Cambridge, UK",Europe,Male,Male,1993,Male,FullNameMatch
Saumitra Das,2009,Program,"Qualcomm Inc., USA",Saumitra Das,"Qualcomm Inc., USA",North America,Male,Male,2007,Male,FullNameMatch
Christophe Diot,2009,Program,"Thomson, France",Christophe Diot,"Thomson, France",Europe,Male,Male,1991,Male,FullNameMatch
Anja Feldmann,2009,Program,"Deutsche Telekom Laboratories / TU-Berlin, Germany",Anja Feldmann,"Deutsche Telekom Laboratories / TU-Berlin, Germany",Europe,Female,Female,1995,Female,FullNameMatch
Roch Guerin,2009,Program,"University of Pennsylvania, USA",Roch Guerin,"University of Pennsylvania, USA",North America,,Male,1986,Male,FuzzyMatch
Krishna Gummadi,2009,Program,"MPI-SWS, Germany",Krishna Gummadi,"MPI-SWS, Germany",Europe,,Male,2005,Male,FuzzyMatch
Per Gunningberg,2009,Program,"Uppsala University, Sweden",Per Gunningberg,"Uppsala University, Sweden",Europe,Male,Male,1983,Male,FullNameMatch
Gianluca Iannaccone,2009,Program,"Intel Research Berkeley, USA",Gianluca Iannaccone,"Intel Research Berkeley, USA",North America,Male,Male,2002,Male,FullNameMatch
Kyle Jamieson,2009,Program,"University College London, UK",Kyle Jamieson,"University College London, UK",Europe,Male,Male,2008,Male,FullNameMatch
Thomas Karagiannis,2009,Program,"Microsoft Research, UK",Thomas Karagiannis,"Microsoft Research, UK",Europe,Male,Male,2006,Male,FullNameMatch
Brad Karp,2009,Program,"University College London, UK",Brad Karp,"University College London, UK",Europe,Male,Male,2000,Male,FullNameMatch
Dina Katabi,2009,Program,"MIT, USA",Dina Katabi,"MIT, USA",North America,Female,Female,2003,Female,FullNameMatch
S Keshav,2009,Program,"University of Waterloo, Canada",S Keshav,"University of Waterloo, Canada",North America,Male,Male,1991,Male,FullNameMatch
Eddie Kohler,2009,Program,"Meraki, Inc. / UCLA, USA",Eddie Kohler,"Meraki, Inc. / UCLA, USA",North America,Male,Male,2001,Male,FullNameMatch
Dmitri Krioukov,2009,Program,"CAIDA/UCSD San Diego, USA",Dmitri Krioukov,"CAIDA/UCSD San Diego, USA",North America,Male,Male,1998,Male,FullNameMatch
Samuel J. Leffler,2009,Program,Google,Samuel J. Leffler,Google,North America,Male,Male,?,Male,FullNameMatch
Ratul Mahajan,2009,Program,"Microsoft Research, USA",Ratul Mahajan,"Microsoft Research, USA",North America,Male,Male,2005,Male,FullNameMatch
David Malone,2009,Program,"Hamilton Institute, NUI Maynooth, Ireland",David Malone,"Hamilton Institute, NUI Maynooth, Ireland",Europe,Male,Male,2000,Male,FullNameMatch
David Maltz,2009,Program,"Microsoft Research, USA",David Maltz,"Microsoft Research, USA",North America,Male,Male,2001,Male,FullNameMatch
Morley Mao,2009,Program,"University of Michigan, USA",Morley Mao,"University of Michigan, USA",North America,,Female,2003,Female,FuzzyMatch
Laurent Mathy,2009,Program,"Lancaster University, UK",Laurent Mathy,"Lancaster University, UK",Europe,Male,Male,2000,Male,FullNameMatch
David Mazieres,2009,Program,"Stanford, USA",David Mazieres,"Stanford, USA",North America,,Male,2000,Male,FuzzyMatch
Marco Mellia,2009,Program,"Politecnico di Torino, Italy",Marco Mellia,"Politecnico di Torino, Italy",Europe,Male,Male,2000,Male,FullNameMatch
Michael Mitzenmacher,2009,Program,"Harvard University, USA",Michael Mitzenmacher,"Harvard University, USA",North America,Male,Male,1996,Male,FullNameMatch
Refik Molva,2009,Program,"EURECOM, France",Refik Molva,"EURECOM, France",Europe,Male,Male,?,Male,FullNameMatch
Vivek Pai,2009,Program,"Princeton University, USA",Vivek Pai,"Princeton University, USA",North America,Male,Male,2000,Male,FullNameMatch
Christos Papadopoulos,2009,Program,"Colorado State University, USA",Christos Papadopoulos,"Colorado State University, USA",North America,Male,Male,1999,Male,FullNameMatch
Craig Partridge,2009,Program,"BBN Technologies, USA",Craig Partridge,"BBN Technologies, USA",North America,Male,Male,1992,Male,FullNameMatch
Himabindu Pucha,2009,Program,"IBM Research, Almaden, USA",Himabindu Pucha,"IBM Research, Almaden, USA",North America,Female,Female,2007,Female,FullNameMatch
Lili Qiu,2009,Program,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",North America,Female,Female,2001,Female,FullNameMatch
Bhaskaran Raman,2009,Program,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",Asia,Male,Male,2002,Male,FullNameMatch
Jennifer Rexford,2009,Program,"Princeton University, USA",Jennifer Rexford,"Princeton University, USA",North America,Female,Female,1996,Female,FullNameMatch
