name,year,committee,region,cleanedName,cleanedRegion,Continent,DirectMatch,FuzzyMatch,ApproximateDoctoralGradYear
Susanna Avessta,2009,Organizing,"DIMES Association, Finland",Susanna Avessta,"DIMES Association, Finland",Europe,Female,Female,?
Javier Aracil,2009,Organizing,"Universidad Aut�noma de Madrid, Spain",Javier Aracil,"Universidad Autnoma de Madrid, Spain",Europe,Male,Male,1995
Sue Moon,2009,Organizing,"KAIST, Korea",Sue Moon,"KAIST, Korea",Asia,Female,Female,2000
Moritz Steiner,2009,Organizing,"Bell-Labs / Alcatel-Lucent, USA",Moritz Steiner,"Bell-Labs / Alcatel-Lucent, USA",North America,Male,Male,2008
Shivkumar Kalyanaraman,2010,Organizing,"IBM Research, India",Shivkumar Kalyanaraman,"IBM Research, India",Asia,Male,Male,1997
Venkat Padmanabhan,2010,Organizing,"Microsoft Research, India",Venkat Padmanabhan,"Microsoft Research, India",Asia,,Male,1998
K.K. Ramakrishnan,2010,Organizing,"AT&T Labs Research, USA",K.K. Ramakrishnan,"AT&T Labs Research, USA",North America,,Male,1983
Rajeev Shorey,2010,Organizing,"NIIT University, India",Rajeev Shorey,"NIIT University, India",Asia,Male,Male,1995
Geoff Voelker,2010,Organizing,"University of California, San Diego, USA",Geoff Voelker,"University of California, San Diego, USA",North America,Male,Male,2000
Vinay Ribeiro,2010,Organizing,"IIT Delhi, India",Vinay Ribeiro,"IIT Delhi, India",Asia,Male,Male,2005
Sudipta Maitra,2010,Organizing,"IBM Daksh, India",Sudipta Maitra,"IBM Daksh, India",Asia,Male,Male,?
Christophe Diot,2010,Organizing,"Technicolor, France",Christophe Diot,"Technicolor, France",Europe,Male,Male,1991
Jim Kurose,2010,Organizing,"University of Massachusetts, Amherst, USA",Jim Kurose,"University of Massachusetts, Amherst, USA",North America,Male,Male,1984
Ranjita Bhagwan,2010,Organizing,"Microsoft Research, India",Ranjita Bhagwan,"Microsoft Research, India",Asia,Female,Female,2004
Sue Moon,2010,Organizing,"KAIST, South Korea",Sue Moon,"KAIST, South Korea",Asia,Female,Female,2000
Bhaskaran Raman,2010,Organizing,"IIT Bombay, India",Bhaskaran Raman,"IIT Bombay, India",Asia,Male,Male,2002
Neil Spring,2010,Organizing,"University of Maryland, College Park, USA",Neil Spring,"University of Maryland, College Park, USA",North America,Male,Male,2004
Kevin Almeroth,2010,Organizing,"University of California, Santa Barbara, USA",Kevin Almeroth,"University of California, Santa Barbara, USA",North America,,Male,1997
Huzur Saran,2010,Organizing,"IIT Delhi, India",Huzur Saran,"IIT Delhi, India",Asia,Male,Male,1989
Aaditeshwar Seth,2010,Organizing,"IIT Delhi, India",Aaditeshwar Seth,"IIT Delhi, India",Asia,Male,Male,2008
Sergey Gorinsky,2010,Organizing,"Madrid Institute for Advanced Studies in Networks (IMDEA Networks), Spain",Sergey Gorinsky,"Madrid Institute for Advanced Studies in Networks (IMDEA Networks), Spain",Europe,Male,Male,2003
Carla-Fabiana Chiasserini,2010,Organizing,"Politecnico di Torino, Italy",Carla-Fabiana Chiasserini,"Politecnico di Torino, Italy",Europe,Female,Female,2000
Krishna Sivalingam,2010,Organizing,"IIT Madras, India",Krishna Sivalingam,"IIT Madras, India",Asia,Male,Male,1994
Partha Dutta,2010,Organizing,"IBM Research, India",Partha Dutta,"IBM Research, India",Asia,Male,Male,2005
B.N. Jain,2010,Organizing,"IIT Delhi, India",B.N. Jain,"IIT Delhi, India",Asia,Male,Male,1975
Anurag Kumar,2010,Organizing,"IISc, Bangalore, India",Anurag Kumar,"IISc, Bangalore, India",Asia,Male,Male,1981
Jaudelice de Oliveira,2010,Organizing,"Drexel University, USA",Jaudelice de Oliveira,"Drexel University, USA",North America,Female,Female,2003
Srinivasan Keshav,2011,Organizing,"University of Waterloo, Canada",Srinivasan Keshav,"University of Waterloo, Canada",North America,Male,Male,1991
Jörg Liebeherr,2011,Organizing,"University of Toronto, Canada",Jörg Liebeherr,"University of Toronto, Canada",North America,,Male,1991
John Byers,2011,Organizing,"Boston University, USA",John Byers,"Boston University, USA",North America,,Male,1997
Jeff Mogul,2011,Organizing,"HP Labs, USA",Jeff Mogul,"HP Labs, USA",North America,Male,Male,1986
Yashar Ganjali,2011,Organizing,"University of Toronto, Canada",Yashar Ganjali,"University of Toronto, Canada",North America,Male,Male,2006
Martin Karsten,2011,Organizing,"University of Waterloo, Canada",Martin Karsten,"University of Waterloo, Canada",North America,Male,Male,2000
Kenneth L. Calvert,2011,Organizing,"University of Kentucky, USA",Kenneth L. Calvert,"University of Kentucky, USA",North America,Male,Male,1991
Aditya Akella,2011,Organizing,"University of Wisconsin-Madison, USA",Aditya Akella,"University of Wisconsin-Madison, USA",North America,Male,Male,2005
Lili Qiu,2011,Organizing,"University of Texas at Austin, USA",Lili Qiu,"University of Texas at Austin, USA",North America,Female,Female,2001
Stratis Ioannidis,2011,Organizing,"Technicolor, France",Stratis Ioannidis,"Technicolor, France",Europe,Male,Male,2009
Nicolas Christin,2011,Organizing,"Carnegie Mellon University, USA",Nicolas Christin,"Carnegie Mellon University, USA",North America,Male,Male,2003
